Date,Open,High,Low,Close,Adj Close,Volume
2021-05-31,92.000000,93.000000,85.000000,86.000000,86.000000,1709751400
2021-06-02,87.000000,88.000000,84.000000,87.000000,87.000000,898902600
2021-06-03,89.000000,92.000000,88.000000,89.000000,89.000000,1238932400
2021-06-04,89.000000,90.000000,87.000000,89.000000,89.000000,506293800
2021-06-07,89.000000,90.000000,87.000000,87.000000,87.000000,464059900
2021-06-08,87.000000,87.000000,83.000000,83.000000,83.000000,855479500
2021-06-09,83.000000,86.000000,82.000000,84.000000,84.000000,395829700
2021-06-10,84.000000,86.000000,84.000000,84.000000,84.000000,392305300
2021-06-11,84.000000,85.000000,83.000000,84.000000,84.000000,287667300
2021-06-14,84.000000,95.000000,84.000000,94.000000,94.000000,3779152600
2021-06-15,94.000000,101.000000,91.000000,96.000000,96.000000,3716408400
2021-06-16,96.000000,107.000000,95.000000,107.000000,107.000000,2469185800
2021-06-17,106.000000,125.000000,105.000000,118.000000,118.000000,8136777300
2021-06-18,118.000000,129.000000,113.000000,119.000000,119.000000,5439318500
2021-06-21,115.000000,128.000000,115.000000,126.000000,126.000000,2828068500
2021-06-22,127.000000,132.000000,124.000000,128.000000,128.000000,2224272500
2021-06-23,128.000000,135.000000,128.000000,134.000000,134.000000,1830801400
2021-06-24,134.000000,137.000000,131.000000,131.000000,131.000000,1329081100
2021-06-25,131.000000,134.000000,128.000000,128.000000,128.000000,1418651000
2021-06-28,128.000000,130.000000,121.000000,121.000000,121.000000,1695279600
2021-06-29,120.000000,126.000000,117.000000,123.000000,123.000000,2663683600
2021-06-30,121.000000,124.000000,117.000000,118.000000,118.000000,1279464900
2021-07-01,117.000000,121.000000,115.000000,118.000000,118.000000,1152887800
2021-07-02,116.000000,120.000000,114.000000,115.000000,115.000000,891621400
2021-07-05,115.000000,129.000000,114.000000,123.000000,123.000000,3028953400
2021-07-06,123.000000,128.000000,117.000000,119.000000,119.000000,2256946000
2021-07-07,119.000000,124.000000,117.000000,120.000000,120.000000,1183154800
2021-07-08,120.000000,122.000000,117.000000,118.000000,118.000000,841600100
2021-07-09,117.000000,119.000000,116.000000,116.000000,116.000000,714700200
2021-07-12,118.000000,118.000000,114.000000,114.000000,114.000000,800794900
2021-07-13,115.000000,116.000000,107.000000,107.000000,107.000000,1425384300
2021-07-14,107.000000,111.000000,103.000000,108.000000,108.000000,842599000
2021-07-15,108.000000,120.000000,108.000000,118.000000,118.000000,1855215000
2021-07-16,119.000000,119.000000,112.000000,112.000000,112.000000,699076200
2021-07-19,112.000000,115.000000,108.000000,113.000000,113.000000,374824600
2021-07-21,114.000000,115.000000,111.000000,112.000000,112.000000,364884100
2021-07-22,112.000000,114.000000,111.000000,113.000000,113.000000,343165200
2021-07-23,113.000000,121.000000,112.000000,118.000000,118.000000,1329429100
